bf7dabd009a2d6773faa96c05e708533a1c1a3b1,/,/.1,    [maven-release-plugin] rollback the release of mahout-14.1,/.2,/.3,100
40e8a7e5b42fcd3fc46d5777e528a36bec86f843,/,/,    root pom deploy and release profiles and ids,/,/,100
339dfb1f0238373066e9ec669540b10c7fb41d3b,/,/,    misspelled  apache-release try again,/,/,100
41c2083c8a5237a47228f1e89bb3e06862d40a04,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
701b02ecc9af533ed6e588cd8f140ab7393db1c2,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
43b693505a8d8768db9251fe427ceccee8ff6bb1,/,/,    release cleanup,/,/,100
48e336d0d3e4e04c3114983e2a37ac0bd3a61f1f,/,/,    move release-profile back into override release-profile remove redundant srec buiuld.,/,/,100
7269a58c7dfda9311d7b6b078583b862bdd32c22,/,/,    cleanup some4 versions and set variables for third party deps in root pom.-- go through this again anf clean these up.,/,/,100
729d622c6af2855a9d5c99008099f6c6d34feb84,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
4ce01cb8bca805f19b2b84caa6e56b51a80e0a33,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
5c5aadf7601629631410ebea807ceca6b9bc0387,/,/,    do not override the base release  remove all release profiles,/,/,100
f2e9b99f31daa735c7547ce9d43410a36e33f577,/,/,    release cleanup,/,/,100
b84097c7e5c3c2c5ec8a8c85ca226706ba880a9c,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
da26b64a0784a1881d8e6ca8e3eb1ecf4ac8d680,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
1793f6296f7b20cc17f4933207f5d96c9bc780c1,/,/,    a few more tweaks,/,/,100
81e1dc60f16b50469f3cd640adf8c5a3849a906f,/,/,    a few tweaks,/,/,100
98e52ff1c70b021eddb962ac4c8b9af3e9922c27,/,/,    i see what you did there maven,/,/,100
7d4c6113bd048abd1a903393d5416bfbd34bba00,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
765135f1f8fab7b05b5097110d481d0ff906de88,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
ed5282eeb6ae7cafc03d51388b009eb6a61286a2,/,/,    one more shot,/,/,100
025aafeecac4be5512dab83e44f40bd5e9432628,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
7c28ca99bef3d21fca20665147104d79c8a2e133,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
144179f0ecff09815ed0e6c6931b2d78e3c7fbd1,/,/,    one last try tonight,/,/,100
6db68f9691a994015e53182ecd2ec6eb8936e7aa,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
f14e831679a70ea8e199935e4038d4f4beaa8148,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
27effc6f4c795391af0df1da02634bd2b128d26f,/,/,    use no profile for distribution release,/,/,100
c9956de67aec92bf45d0a00b93e261ac5b572d4c,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
299b50bc89d998724f7918340a78331cfdf799aa,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
25ae289e53332681104126128f75701317555c23,/,/,    ensure distribution builds snd deploys for both apache-release and mahout-release profiles,/,/,100
50f2a284205e2bc3670e6fc1bd76a2e9a4aa80b0,/,/,    distributions not released,/,/,100
66023490e8499dd25a107dcdfcf80f6cd39d8686,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
1dd6d33e9641b6bc05ca909c2609ba04e7eda003,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
936c4af656f5f2ad4539ef67b84ac43a0809366e,/,/,    release recycle,/,/,100
c0f685af740d4db853578c9fa6f5a2d18c9a0b37,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
359b8524c4df4c7ec8038524cc7267dac35a0037,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
4d88d5e4866bbfcec558c33cb59e538c55acc433,/,/,    remove viernnacl-omp from distro-- in all places --correctly,/,/,100
9d070afbd7ebd95132012d088cc905cf6579a223,/,/,    remove viernnacl-omp from distro-- in all places,/,/,100
cb485311b9bb67bce79ae48dc21ba2767ffa320e,/,/,    remove viernnacl-omp from distro,/,/,100
378b2a0ad71337b8983afb47e6a4157906bb345b,/,/,    change a couple of things in DockerFile,/,/,100
941d7b41f13482cf07ce6a908f2dfa6dacaf0ff3,/,/,    rename Dockerfile to dockerfile.Spark.. this file is still [WIP],/,/,100
a468d8effd709a70198ba5567418e05b9d71111c,/,/,    release recycling,/,/,100
1a200e6193d0108d5f5fc503581b501897f8aeef,/,/,    add submodule poms back to distro.,/,/,100
a4a8325fc84937612509125704c0e912625d1c75,/,/,    succesful builds,/,/,100
429d0192dabd55cffeda59c70a7afe111f37a81b,/,/,    succesful builds,/,/,100
91a8865b34599d31a71d83e17672aa71ca726486,/,/,    rollback snapshots,/,/,100
5ccfa8bc1b0dea0064204196e5522c8538d95507,/,/,    tweak,/,/,100
88fbbaa2d19376578bed665748a20161f48e77d7,/,/,    tweaks,/,/,100
d91d623ee03cb353197f48f1acbabc210bf300cc,/,/,    Creatye a distribution module.  move assembly into there,/,/,100
3b992bd76ccd2282be70885c2398543635f3f71b,/,/,    remove some hardcoding,/,/,100
6366f61be8f38560902f97f1c413cdc95f3c4013,/,/,    tweaks to release,/,/,100
9b3a056f93f424bedbb4e725a8c7fb4900bd0332,/,/,    rollback releaase,/,/,100
4c034d0f8613d2d273645a999290f40dd2622845,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
e375e5d9023f2392e6f3581c6d7e89978d237af9,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
28c3ce0b2f1787a25a46fc9ad9734cbc6cd42d87,/,/,    fix assembly descriptors,/,/,100
c26286270c8a1d68862f320493bb048241fda781,/,/,    release recycling,/,/,100
5aaa6be5a3f209977d854705ae0405b9d83381e7,/,/,    release recycling,/,/,100
f6bfc4740c0f43c4c0e35a28888299aed0b29fc7,/,/,    release recycling,/,/,100
575939307d69921c59f9f26c14a335b3c8fca033,/,/,    release recycling,/,/,100
82cb521eccb93bbcc201d925ea0d804c7349ee74,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
dc2e4eb3c0eab69a63127237b77f0f9c919f50fe,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
0d570328c4cfe05c8544648b08c4c824ac6aafd1,/,/,    release recycling,/,/,100
acaf3675fd77703204baec8044836fd27712080e,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
26c4f1b918288f95a0d2102002a697c20c97dc77,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
879defb9f9505953faf2a7fa693d2923cb3c4c3d,/,/,    release recycling,/,/,100
53fe38bc1142b26ce947fd7351a2e183746f7b60,/,/,    Mahout 14.1 Rollback (#380),/,/,100
97aa2420ad636be75d9dc2bf85b45401f8df5516,/,/,    release recycling,/,/,100
e81eae95ac3dee3f11900ba842b7f17a31522c76,/,/,    remove mahout-release from root pom.xml,/,/,100
22eead7f32376b79336b469a261b7a8a1c94786d,/,/,    remove <scm /> from all but root pom.xml,/,/,100
f181080e4141fe91b14d82b7532519f333488752,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
6e990183c4517d0b0c561f4b8829f809b4152a1a,/,/,    merging upstream,/,/,100
15a476fe39dcae713fe4d04d719e73a88324bb8e,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
3009d6500fd98d4e05f72cb027818c25f41253ca,MAHOUT-14,Wish,Need an SVM implementation,Classification,Minor,100
3073fa7c0ff2e6d947a41deccb37cc0bfd60b2ed,MAHOUT-2074,New Feature,Dockerfile(s) ,,Critical,100
ff2c23da1ca6b4d5cfde64d64ea9eb2105a72f9a,MAHOUT-2074,New Feature,Dockerfile(s) ,,Critical,100
bf40aafadc2622b848d864aabbd7c385163301c4,MAHOUT-2071,Task,fix bin.xml and assembly to allow for a binary apache-mahout-14.1.tar.gz release,,Blocker,100
52f527f4f297eab25a6d8d0d4d1d5c80a0c17982,MAHOUT-2071,Task,fix bin.xml and assembly to allow for a binary apache-mahout-14.1.tar.gz release,,Blocker,100
5caae55f3ca0a34c37c037fc44aaa3fda9f307b4,/,/,    rollback to version 14.1-SNAPSHOT,/,/,100
82b95dcd044df983e04e515f5db64be0fceec199,MAHOUT-2071,Task,fix bin.xml and assembly to allow for a binary apache-mahout-14.1.tar.gz release,,Blocker,100
a7fc999546901ae815fe3604fec46749b045d717,MAHOUT-2071,Task,fix bin.xml and assembly to allow for a binary apache-mahout-14.1.tar.gz release,,Blocker,100
0ac7d9b5ff14e60280e7b01d08aec190587a4a02,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
54fc1b43421ceb6b70617f44cea73c55c840bc68,/,/,    merging HEAD,/,/,100
7cac67317d97a4938a024ae4fd421a9297a28818,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
cb74cf6da4a722100923a93aeae8a05f6c4181b4,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
b041fb3156ae954352611738a14dca7ecec10905,/,/,    Mahout 14.1 Rollback  release prepare  changes in terminoligy (#378),/,/,100
6aa947ff44cf79408997d953f0a6bb32ba2e0aa7,/,/,    Merge branch 'mahout-14.1' into mahout-14.1,/,/,100
56b0e1138b14f78be90745bfb89ab4125fbbe39d,/,/,    set back 14.1-SAPSHOT version,/,/,100
a96c4bbfdd249571e3e80077c69884e1219700b6,MAHOUT-2017,Sub-task,Figure out how keep data as DRM in between stages,spark,Major,100
c9f1245eca595ad3e3991adbbca8e5b3c0a78496,/,/,    Mahout 14.1 (#377),/,/,100
57c1e601257ca9aa843769eaf709248c1ce8b5ae,MAHOUT-2017,Sub-task,Figure out how keep data as DRM in between stages,spark,Major,100
e0015b85026ba96d8cb7f787ae196c4584ce1639,MAHOUT-2017,Sub-task,Figure out how keep data as DRM in between stages,spark,Major,100
8e48983a66571ab6ac331c1cb2043df58ed1213b,MAHOUT-2017,Sub-task,Figure out how keep data as DRM in between stages,spark,Major,100
a1fad8b0b436a9b060c97b804d2f8b1499361cb2,/,/,    init,/,/,100
24370fd887c0062f10ddf6063ad24d2a24a431aa,/,/,    foo,/,/,100
875e05829fe7593d0af43dd41a5086a365a7de43,/,/,    found problem- we were overriding apache-release assembly... now dealing with syntax issues  in /bin/mahout,/,/,100
e1454376a8c6649ab85e54db0a1617c08fe78598,/,/,    Dockerfile bash stuff. I.e. build spark master,/,/,100
213736b0c116ca3ebe50c84f879d6a457cb760f5,/,/,    Dockerfikle upgrade to Spark 2.4.4,/,/,100
92ab261f48b18d79c9695c0b802b46143e971042,/,/,    release plugin,/,/,100
455851dddad9d48e0ce2ee8d40be2f1c57a64613,/,/,    mend,/,/,100
3bb049be556e8b95f02784d39e54d92ef70ee6ec,/,/,    mend,/,/,100
ab4e686e99a6738a45407a60e3beef0da7291e5e,/,/,    mend,/,/,100
84bf82069c3146c03f3acd833949b92a97bf04d2,/,/,    mend,/,/,100
f0b33a909fb4ea9e7353b5e54bbbfa573d0f73f4,/,/,    mend,/,/,100
b2439ae3242e256805ea361db9a4f9d5cb6e18bd,/,/,    release modules,/,/,100
4ba7c839d579a708a4400cbaa7c4d2e61167668e,/,/,    restore submodules to release,/,/,100
259ed9ad4a7188b5eb6256c81e47b8df08ee29c9,/,/,    save vcl for after release is working  root pom changes.,/,/,100
df3d13154be6181266e3aa004e4ea50122998f23,/,/,    tweaks,/,/,100
f5e999dc6cc8f94d0a50d6516e8e04f61ddb1381,/,/,    add Dockerfile to src,/,/,100
fbe3b28c4223ceeee248eb27f9aecde6b18a774f,/,/,    add Dockerfile to binary release,/,/,100
b002713c69613e5331a1b2fd9bce4be57a58d6e1,/,/,    move Dockerfile and entrypoint to resource-managers/kubernetes/docker/src/main/dockerfiles/ ala Spark,/,/,100
c53871e0f24eacf8395b9e9f4381727435582966,/,/,    set  <mahout.skip.distribution> property in root pom,/,/,100
adc42ab684c97df21d3b1f8a525a49937a92609c,/,/,    forgot entrypoint.sh,/,/,100
cca3a47351b70a0fcbafc37eff3fb49fec8341df,/,/,    bump version,/,/,100
10a8294f2c39dd90da4d870d94230b9fc90ce034,/,/,    one more tweak tonight,/,/,100
f91e320520c59b3764c18b4358a9e4ce17b0ebea,/,/,    wip add $MAHOUT_HOME variable.. should be an ARG.,/,/,100
4d074ee67bcbfc9dc9195387afd78da29e8afa16,/,/,    docper files were not added to git?,/,/,100
80e13d63ff596e8b53d525648986ae8340f7c8fa,/,/,    wip: gank spark's Dockerfile again  make it ours  build Spark for k8s in it. add our jars to the dependencies.,/,/,100
0927858edcc15b011fcbf08ec6208ee28ffb06c9,/,/,    use old dependency-reduced assembly for spark,/,/,100
a68e397b467f5be41c11f978eba4d3a1f39e5c0e,/,/,    wip: minor fixes,/,/,100
421ca7ba7fb3404ff95d6341879d4e647f2bd593,/,/,    rm wip Dockerflile from spark,/,/,100
c67a6c82d68b45d41e7a9eb937579ce9abe9f8e1,/,/,    bin.xml tinkering,/,/,100
b77c7562972f2b3fbf59f9dfb9a361db5f115db8,/,/,    assemblies close,/,/,100
8260e755012c30518ee541bf9c812522c4ae4dac,/,/,    still cant get both assemblies go,/,/,100
b268bde8a3f693ac94b5f3857c28b3197194a476,/,/,    minor changes to assembly,/,/,100
af0411cd96552b5bfcf8d1d1f52d170ca9007286,/,/,    appended `mahout-` to all artifacts to be released.,/,/,100
0abfb934ce3c33b6db7558919bb8f2575cebe5c2,/,/,    testing with modules,/,/,100
a66568c584a41705dd10d7bc00714a8e45138a5b,/,/,    remive first blank line from bin assembly,/,/,100
0ed68978d45bc7659bb8f962b76773f71042934e,/,/,    assembly header,/,/,100
3559fc5ab69bef85534a27e2c7fbf278106272ca,/,/,    minor typos that may have affected bin assembly,/,/,100
ac87bdc8456f0a67fc808b76d78bdb2df865e468,/,/,    hardcode version in hdfs temp,/,/,100
5ce3f9fdc494741fb7a32c28af0e9d98e2b3e8c8,/,/,    regression from hacky release attempt,/,/,100
5dd5313fd8cd28698a9211a8079d6360cc583a2e,/,/,    remove previous redundant scm tag from drivers pom,/,/,100
070e7ed17a9006e56704dae51ca0c4ccb6298ab5,/,/,    version fix,/,/,100
11ee0f280ad882a0907c0b6aee6f4d5e944ee5cf,/,/,    version fix,/,/,100
647ce0712d9cef15311b7469a629571b3f69e8ef,/,/,    - add scm section to each pom as suggested by Maven release docs,/,/,100
0adc9e783f365cd8eea5366186d45ca8f3d2b61e,/,/,    manual rollback,/,/,100
c564ad6cb04d477a9c52cd89b5d2bb4dff0779a5,/,/,    preparing to rollback and try different release commands,/,/,100
0a038d5a8765fdbdbc1c0f8389941cee9bcdab38,/,/,    new assembly,/,/,100
33fa57a52d0441db47cae78fcbbc61ac53e8469f,/,/,    release work,/,/,100
9829ccf5e7fac5689c69c8d2c12e143186977281,/,/,    keep assembly versions straight  bin.xml not building,/,/,100
f708a56044a119636c9f52dba77ae5f7cf010d7a,/,/,    set remove all versions scalatest except for in root  set to 2.0.0,/,/,100
f6c75a810e54084f7e5367267cc4514a77c526aa,/,/,    fix up assembly tags,/,/,100
80b18835e9e1b0348f494199d07df06d1bceca9b,/,/,    fix up some forgotten poms,/,/,100
f80db6309fd7b891aeeeaf8210ac0ad88f44f35d,/,/,    spark wants HDFS pom,/,/,100
839ba1a4e9ff7ec49673b8a0de6cd52d2d44e1ac,/,/,    HDFS pom,/,/,100
a3ea1cabc4deefb564160b9c91a535d9ee7b65e2,/,/,    HDFS pom,/,/,100
d93fa8a09f1481b361b2382f64ea81237cdc33ac,/,/,    HDFS pom,/,/,100
7b5726efe0799ea88488fea235c34e3bd5951cc8,/,/,    another small tweak to bin.xml,/,/,100
fa1a0e6ea7634e9241387e8ecce576fbcf30a975,/,/,    release work,/,/,100
a406fc716d06e3635f44231c1679ac8b4bf7ebe4,/,/,    release work,/,/,100
0dd9c755b271e0c4164589c2314b395bbf5cb4c5,/,/,    fixed ABt scala Serialization issue,/,/,100
3b9bc03faca7fec8635598aa0d4765bdefc4ebcd,/,/,    - update some out of date website versions.,/,/,100
1a5cbff0d9ae521eac61d7e409abc31473a4714b,/,/,    good build on scala_2.12/spark_2.3.4/java8 havent tested yet,/,/,100
687ac4b0a676783bfec06a9ab013e29bd23353c0,/,/,"    Revert ""java 8+ generateted tag's dont play well with scala_2.12  disable them  and upgrade for scala 2.12 and spark 2.4.3""",/,/,100
38d69005acbbba0cb62124d268d4ea53ec7a0b7b,/,/,"    Revert ""dealing with test failures java 8 lambdas with scala 2.12.x""",/,/,100
c1066bad1a7e62c1c9f17cffb71f42669ea2c5b1,/,/,    failing - scalatest,/,/,100
8ae70946109a014df05351f41fd2989fd90ad278,/,/,    upgrade scalatest to 3.2.0-SNAP10,/,/,100
3a06eef433c1f522099720503a1ffd0a9b2f6ac7,/,/,    upgrade scalatest,/,/,100
01b7be917efe4a689fefe97ef187bb997c49f2ce,/,/,    dealing with test failures java 8 lambdas with scala 2.12.x,/,/,100
db22e978e39c0a7dc0e5111971bd5159ac9f7aa3,/,/,    java 8+ generateted tag's dont play well with scala_2.12  disable them  and upgrade for scala 2.12 and spark 2.4.3,/,/,100
d8f96273f70d3f5c23df9437fdcc8d078bdaf168,/,/,    steal Spark's dockerfile,/,/,100
2a374a6b41e241627d3c2e247da7ee251df62805,MAHOUT-2069,Task,Typo in core/pom.xml,,Major,100
369c430696fc8f1f493990ed3d9a0870b7b5a7f8,/,/,    Merge branch 'master' of github.com:apache/mahout,/,/,100
587c713dcc244a7a6c2582f02929636178aed4a0,/,/,    fix version for community/pom.xml,/,/,100
4c4a3fa2d0b07ee8c8f67f32c8bd7a289e6b4b9c,MAHOUT-2068,Bug,Release not rolled back  download link broken,build,Major,100
b3e6bf842532c5223a254c42e308348c258b064e,/,/,    (noJira) duplicate         <artifactId>maven-surefire-plugin</artifactId>,/,/,100
a8301c72ae2b60f4a9500ea52283da173a47f5d4,/,/,    (noJira) wip: place jar in correct directory,/,/,100
2ea278e8efc21a645138276b66eef65c6d1cca56,/,/,    (noJira) bin.xml overhaul.. directories are off in different ares.,/,/,100
c7b92eed76c44b2a2bc3555e8229976455c60511,/,/,    (NoJira) release:prepare include examples in assembly.xml,/,/,100
6b02826d5ccbba4c1d1ff45e2f148b7529973d12,/,/,    (NoJira) release:prepare changes to assembly/bin.xml,/,/,100
8338ccf1aa91c14d3aa41bb24cc727b824d6ff6e,/,/,    Squashed commit of the following:,/,/,100
c4c7a6f29399157dacc616c0cb138696ef022906,/,/,    (nojira) release: fat jar from spark cli pom.xml spark ships all classes anyways,/,/,100
fbcdf6a4c5a4df8dd6ab5f8a88d8d76914626f89,MAHOUT-2067,Improvement,Update to latest RAT release  fixes in pom.xml and commit template,build,Major,100
045e132f0e4d3bea31652fda61c721d2da212c01,/,/,    (nojira) release,/,/,100
54eee3b84d4f21300f359fe298305b23924b7edf,/,/,    (nojira) release,/,/,100
1882239aaad460a5ab71007b136281ee828fd5ee,/,/,    (nojira) tweak  dependency-reduced jar back to spark module,/,/,100
395e8c715897b88f183d9364f3e0808c86398f32,/,/,    (nojira) ad dependency-reduced jar back to spark module,/,/,100
d84b96486f7c1cfb4e31eeab788719bf82ba5e7c,/,/,    (nojira) fix path for spark-cli copy,/,/,100
faba9daf18298ab18692c8b915974598efe2e67e,/,/,    Build thrashing,/,/,100
550ba50925bfa78b4ca9782099bb2bc39c4352a5,/,/,    Removing .. from paths in assembly/bin and src,/,/,100
bcb93cf94d04a4e4484d052f4df4d9e28b2a9988,/,/,    Build thrashing,/,/,100
7c7aca770e1cb612c542b553f94bc7b406176e30,/,/,    Build thrashing,/,/,100
de6ad662ff375aa4a0bedc30a662dd6d4c8c800d,/,/,    Build thrashing,/,/,100
c9914c394e2180de3f78fb181ffed3abc5c58177,/,/,    Removing bin-assembly,/,/,100
e9d6aa21be72bf56afd556bd6d65655def27d801,/,/,    NOJIRA: Build thrashing,/,/,100
625b4bef8de18491222a87cdc285d01d9ebb1135,/,/,    NOJIRA: Replacing bin assembly,/,/,100
a2de6541e35f7f2caa9e8994f47b060affa393e9,/,/,    Merge branch 'master' of github.com:apache/mahout,/,/,100
a3865591ca17711e1482d4dccffe0c795ec9381d,/,/,    (nojira) surefire config builds cli  manual rollback  commands are wonky,/,/,100
708b95ff215e01493b7d7d224df01affd832778b,/,/,    Merge branch 'master' of github.com:apache/mahout,/,/,100
290c995078072f598e2600ac56d2d1518f9b0d1f,/,/,    (nojira) release-profile,/,/,100
2b452235dcc667dcdeccb7a22b9e9481bc36c84e,/,/,    NOJIRA: Rollback,/,/,100
60c5fd7338a1bb9b90b10dc1725521e4aabda9b1,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
8e5d4b42e3440ce7909d739d62d5bf61c49e9181,/,/,    [maven-release-plugin] prepare release mahout-14.1,/,/,100
e0676091ed9bda0c5539ea76d813c0cacf87c035,/,/,    NOJIRA: Un-hard-coding version number,/,/,100
7fb14fba8b32a8515c8c287e1e65b6ca71174dd6,/,/,    NOJIRA: Editing poms for 14.1 release,/,/,100
9493b980df6b6bc2454ee3c816705ce552fc9f41,/,/,    (NOJIRA) Manual rollback of versions,/,/,100
2274f7d824747912c58d98879889654b44606bf1,/,/,    upgraded parent pom to version 18,/,/,100
e9a54ba104183b94b78ea316768333e5fc14ce18,/,/,    (noJira)-- redo pom SNAPSHOTS,/,/,100
fc9d7d8c85e2f25aa9fd9246785bd98199261ec1,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
d507a08ef6479b9503d356be3f4c11421973c1c5,/,/,    [maven-release-plugin] prepare release mahout-14.0,/,/,100
00694e08edbc79a88fe1743acea010c1dde876d8,/,/,    [maven-release-plugin] rollback the release of mahout-0.14.0,/,/,100
985dd202da49dc463c0ea021181642a45832ca71,/,/,    Merge branch 'master' of github.com:apache/mahout,/,/,100
046b97df55db6564d83898ee2ea0574daedd4dfb,/,/,    fixed some tags,/,/,100
35d0b1fa535977887598a018ec996a54acb4cda5,MAHOUT-2067,Improvement,Update to latest RAT release  fixes in pom.xml and commit template,build,Major,100
f52fd5ce0c0bf0fd98501297088b6deebe4c88e8,/,/,    cleanup for version bump to v14.0 merge to master  resolve conflicts,/,/,100
6ef04ceefdeee70e32bb0a8d66bea2f485331cca,/,/,    version bumps on master,/,/,100
5ca4b6a70b9066c5b9b5b79bb0544bd61f071f67,/,/,    fix for http://openjdk.java.net/jeps/212 (JavaDoc errors from java 8 generated html) still have warnings  but project builds; Update project targetr version number to 0.14.1 (#371),/,/,100
847d35957e8f99564497fbe8a8a92bb9dd68754c,/,/,    NOJIRA: More clean-up on team page,/,/,100
9b0ce1f3d74529c7965be52b11688ade497d497e,/,/,    NOJIRA: More clean-up on team page,/,/,100
53ae6bd3c2e407c04c23effd7d0442ed78a6bb55,/,/,    NOJIRA: Clean-up on team page,/,/,100
5350e6bc139f92a7eb5d14728a2bfa0b585ac685,/,/,    Merge pull request #369 from jeffling/patch-1,/,/,100
14864c91f68228e3aa8b038292c27aa3234b1967,/,/,    WEBSITE-Typo in website title,/,/,100
b0cf1694e60f643e352182ea03744c34e96dbac4,/,/,    NOJIRA: Adding instructions per announce@a.o requirements,/,/,100
48d76dbb8bb3455a7aba5ceceab0a0304bd53cbb,/,/,    NOJIRA: Adding instructions per announce@a.o requirements,/,/,100
